id,title,date,type,location,metadata
222,FESTIVAL DE INVERNO DE SERRA DE SÃO BENTO,2024-08-02,Artístico/Cultural/Folclórico,Serra de São Bento/RN,"width=device-width, initial-scale=1"
223,O FESPEVA- Festival de Pesca do Vale do Arinos,2024-08-02,Ecoturismo,Porto dos Gaúchos/MT,"width=device-width, initial-scale=1"
224,42ª Franchising Fair - Feira Nacional de Franquias,2024-08-02,Comercial ou Promocional,Belo Horizonte/MG,"width=device-width, initial-scale=1"
225,Festival de Inverno de Serra de São Bento,2024-08-02,Artístico/Cultural/Folclórico,Serra de São Bento/RN,"width=device-width, initial-scale=1"
226,DEGUSTA BÚZIOS,2024-08-02,Gastronômico,Armação dos Búzios/RJ,"width=device-width, initial-scale=1"
227,Festa do Roupão,2024-08-03,Outro,Piratuba/SC,"width=device-width, initial-scale=1"
228,4º Airão Man - Triathlon no Parque Nacional de Anavilhanas,2024-08-03,Esportivo,Novo Airão/AM,"width=device-width, initial-scale=1"
229,Viva São Roque,2024-08-03,Artístico/Cultural/Folclórico,São Roque/SP,"width=device-width, initial-scale=1"
230,Festa da Padroeira Nossa Senhora do bom Sucesso,2024-08-03,Religioso,Paranapanema/SP,"width=device-width, initial-scale=1"
231,Semana Cultural Italiana,2024-08-04,Artístico/Cultural/Folclórico,Jaguaré/ES,"width=device-width, initial-scale=1"
232,Semana do Turismo Responsável,2024-08-05,Científico ou Técnico,Tocantínia/TO,"width=device-width, initial-scale=1"
233,Festa da Padroeira de Nossa Senhora da Guia,2024-08-05,Religioso,Acari/RN,"width=device-width, initial-scale=1"
234,Agroleite Castrolanda,2024-08-06,Científico ou Técnico,Castro/PR,"width=device-width, initial-scale=1"
235,24ª FENARROZ - Multifeira do Agronegócio,2024-08-06,Comercial ou Promocional,Cachoeira do Sul/RS,"width=device-width, initial-scale=1"
236,Macarronada de São Donato,2024-08-07,Religioso,Pedrinhas Paulista/SP,"width=device-width, initial-scale=1"
237,O Legado de Rita de Cássia,2024-08-07,Artístico/Cultural/Folclórico,Alto Santo/CE,"width=device-width, initial-scale=1"
238,"Festa do Frango, Polenta e Vinho de Santa Felicidade",2024-08-07,Gastronômico,Curitiba/PR,"width=device-width, initial-scale=1"
239,DESFILE CÍVICO DE EMANCIPAÇÃO POLÍTICA DE MURITIBA,2024-08-08,Social/Cívico/Histórico,Muritiba/BA,"width=device-width, initial-scale=1"
240,Mostra de Dança de Praia Grande,2024-08-08,Artístico/Cultural/Folclórico,Praia Grande/SP,"width=device-width, initial-scale=1"
241,1º Festival de Chocolate da Chapada Diamantina,2024-08-08,Gastronômico,Mucugê/BA,"width=device-width, initial-scale=1"
242,FLIC- Feira Literária de Cruzeiro-SP,2024-08-09,Artístico/Cultural/Folclórico,Cruzeiro/SP,"width=device-width, initial-scale=1"
243,FESTIVAL DE PESCA ESPORTIVA DO TUCUNARÉ NO LAGO DO RIO JATAPU,2024-08-09,Esportivo,Caroebe/RR,"width=device-width, initial-scale=1"
244,XVI Encontro de Veículos Antigos,2024-08-09,Artístico/Cultural/Folclórico,Piratuba/SC,"width=device-width, initial-scale=1"
245,Festival Gastronômico de Trindade,2024-08-09,Gastronômico,Trindade/GO,"width=device-width, initial-scale=1"
246,Festival Gastronômico,2024-08-09,Gastronômico,Trindade/GO,"width=device-width, initial-scale=1"
247,Festival de Cinema de Gramado,2024-08-09,Artístico/Cultural/Folclórico,Gramado/RS,"width=device-width, initial-scale=1"
248,Festividade de Nossa Senhora da Assunção,2024-08-09,Religioso,Nhamundá/AM,"width=device-width, initial-scale=1"
249,Festa do caminhoneiro,2024-08-10,Artístico/Cultural/Folclórico,São Domingos/SE,"width=device-width, initial-scale=1"
250,Mercado das Pulgas,2024-08-10,Comercial ou Promocional,Holambra/SP,"width=device-width, initial-scale=1"
251,Cavalgada das Patroas,2024-08-10,Rural,Pingo-D'Água/MG,"width=device-width, initial-scale=1"
252,FEIRA TURÍSTICA E CULTURAL DO XARÉU,2024-08-10,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
253,FESTA DE SANTA HELENA,2024-08-10,Religioso,Caputira/MG,"width=device-width, initial-scale=1"
254,Feira Agropecuária - AGROPEC,2024-08-10,Rural,Paragominas/PA,"width=device-width, initial-scale=1"
255,Festival Folclórico de Humaitá/MANGABAFEST,2024-08-11,Artístico/Cultural/Folclórico,Humaitá/AM,"width=device-width, initial-scale=1"
256,Interplast 2024 - Feira do Plástico,2024-08-13,Científico ou Técnico,Joinville/SC,"width=device-width, initial-scale=1"
257,"FECONEX - Feira da Conexão entre o Agro, Indústria, Comércio e Serv...",2024-08-14,Comercial ou Promocional,Sete Lagoas/MG,"width=device-width, initial-scale=1"
258,EXPOAQUI,2024-08-14,Artístico/Cultural/Folclórico,Aquidauana/MS,"width=device-width, initial-scale=1"
259,Brotas Gourmet  2024 - 11ª Edição,2024-08-15,Gastronômico,Brotas/SP,"width=device-width, initial-scale=1"
260,Stock Car - Etapa BH 2024,2024-08-15,Esportivo,Belo Horizonte/MG,"width=device-width, initial-scale=1"
261,Travel Next Minas,2024-08-16,Comercial ou Promocional,Belo Horizonte/MG,"width=device-width, initial-scale=1"
262,Festa Nipo Brasileira,2024-08-17,Gastronômico,Salto/SP,"width=device-width, initial-scale=1"
263,VII Desafio Termas Piratuba de Cicloturismo,2024-08-17,Esportivo,Piratuba/SC,"width=device-width, initial-scale=1"
264,5º CICLOTURISMO DE MURITIBA,2024-08-18,Ecoturismo,Muritiba/BA,"width=device-width, initial-scale=1"
265,3ª Corrida do Agro de Casa Grande,2024-08-18,Esportivo,Casa Grande/MG,"width=device-width, initial-scale=1"
266,Festa de Agosto,2024-08-21,Religioso,Várzea Alegre/CE,"width=device-width, initial-scale=1"
267,Festa do Folclore com Bandas de Congo,2024-08-22,Artístico/Cultural/Folclórico,Vila Velha/ES,"width=device-width, initial-scale=1"
268,FESTA DA CIDADE,2024-08-22,Artístico/Cultural/Folclórico,Caputira/MG,"width=device-width, initial-scale=1"
269,11º BÚZIOS BIKER FEST,2024-08-22,Esportivo,Armação dos Búzios/RJ,"width=device-width, initial-scale=1"
270,CHOCOLAT AMAZÔNIA - FESTIVAL INTERNACIONAL DO CHOCOLATE E CACAU,2024-08-22,Outro,Belém/PA,"width=device-width, initial-scale=1"
271,Festival de Inverno,2024-08-23,Artístico/Cultural/Folclórico,Mar Vermelho/AL,"width=device-width, initial-scale=1"
272,Festa Nacional do Fandango Caiçara,2024-08-23,Artístico/Cultural/Folclórico,Paranaguá/PR,"width=device-width, initial-scale=1"
273,EXPOLAJES,2024-08-23,Comercial ou Promocional,Lajes/RN,"width=device-width, initial-scale=1"
274,Trekker Trek,2024-08-23,Artístico/Cultural/Folclórico,Holambra/SP,"width=device-width, initial-scale=1"
275,3ª Edição da Exposição Vale dos Dinossauros,2024-08-23,Artístico/Cultural/Folclórico,Cruzeiro do Oeste/PR,"width=device-width, initial-scale=1"
276,Feira Medieval,2024-08-24,Artístico/Cultural/Folclórico,Vila Velha/ES,"width=device-width, initial-scale=1"
277,Marcha da Paz,2024-08-24,Religioso,São Roque/SP,"width=device-width, initial-scale=1"
278,FEIRA TURÍSTICA E CULTURAL DA MASSAMBABA,2024-08-24,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
279,5º GP de Rolimã,2024-08-24,Esportivo,Cariacica/ES,"width=device-width, initial-scale=1"
280,Festa Literária de Glória - FLIG,2024-08-27,Artístico/Cultural/Folclórico,Nossa Senhora da Glória/SE,"width=device-width, initial-scale=1"
281,SALÃO DO ARTESANATO - RAÍZES BRASILEIRAS - EDIÇÃO SP,2024-08-28,Artístico/Cultural/Folclórico,São Paulo/SP,"width=device-width, initial-scale=1"
282,FIRE Festival,2024-08-29,Científico ou Técnico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
283,III Festival gastronômico do Camarão de Morada Nova,2024-08-30,Gastronômico,Morada Nova/CE,"width=device-width, initial-scale=1"
284,Molokabra Downwind 6ª Edição,2024-08-30,Esportivo,Fortaleza/CE,"width=device-width, initial-scale=1"
285,41ª Expoflora,2024-08-30,Artístico/Cultural/Folclórico,Holambra/SP,"width=device-width, initial-scale=1"
286,Haka Race 2024,2024-08-31,Esportivo,Brotas/SP,"width=device-width, initial-scale=1"
287,9ª Festa das Águas Termais,2024-08-31,Artístico/Cultural/Folclórico,Salgadinho/PE,"width=device-width, initial-scale=1"
288,Acampamento Farroupilha de Sapiranga,2024-08-31,Artístico/Cultural/Folclórico,Sapiranga/RS,"width=device-width, initial-scale=1"
289,7ª CAVALGADA DA INDEPENDÊNCIA,2024-09-01,Artístico/Cultural/Folclórico,Aquiraz/CE,"width=device-width, initial-scale=1"
290,LANCAMENTO FESTIVAL DO CHAMBARI,2024-09-01,Gastronômico,Paraíso do Tocantins/TO,"width=device-width, initial-scale=1"
291,Cavalgada,2024-09-01,Artístico/Cultural/Folclórico,Pirajuba/MG,"width=device-width, initial-scale=1"
292,55º Jogos Alusivos à Semana da Pátria 2024,2024-09-01,Esportivo,Bragança/PA,"width=device-width, initial-scale=1"
293,Temporada de Esportes Radicais,2024-09-01,Esportivo,Jaciara/MT,"width=device-width, initial-scale=1"
294,37ª Festa do Peão,2024-09-04,Artístico/Cultural/Folclórico,Pirajuba/MG,"width=device-width, initial-scale=1"
295,"Festejos da ""Exaltação da Santa Cruz""",2024-09-05,Religioso,Santa Cruz dos Milagres/PI,"width=device-width, initial-scale=1"
296,Festival de Chorinho Canela Verde,2024-09-06,Artístico/Cultural/Folclórico,Vila Velha/ES,"width=device-width, initial-scale=1"
297,Festa de Setembro,2024-09-06,Artístico/Cultural/Folclórico,Alto Jequitibá/MG,"width=device-width, initial-scale=1"
298,Romaria ao Santuário de Nossa Senhora da Conceição Montesina,2024-09-06,Religioso,Monte Alto/SP,"width=device-width, initial-scale=1"
299,Praia Games,2024-09-06,Artístico/Cultural/Folclórico,Praia Grande/SP,"width=device-width, initial-scale=1"
300,V Festival do Caranguejo de Aquiraz,2024-09-06,Gastronômico,Aquiraz/CE,"width=device-width, initial-scale=1"
301,Festa do Salto,2024-09-06,Gastronômico,Salto/SP,"width=device-width, initial-scale=1"
302,Festival de Teatro de Praia Grande,2024-09-06,Artístico/Cultural/Folclórico,Praia Grande/SP,"width=device-width, initial-scale=1"
303,Festival da Primavera,2024-09-06,Outro,Nova Petrópolis/RS,"width=device-width, initial-scale=1"
304,Tradicional Desfile do Dia da Independência,2024-09-07,Social/Cívico/Histórico,Morada Nova/CE,"width=device-width, initial-scale=1"
305,FEIRA TURÍSTICA E CULTURAL DO XARÉU,2024-09-07,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
306,Desfile de 7 de Setembro,2024-09-07,Social/Cívico/Histórico,Guarapuava/PR,"width=device-width, initial-scale=1"
307,30ª Cavalgada da Independência,2024-09-07,Social/Cívico/Histórico,São Pedro da Aldeia/RJ,"width=device-width, initial-scale=1"
308,Desfile Cívico Cultural em Jaguaré,2024-09-07,Social/Cívico/Histórico,Jaguaré/ES,"width=device-width, initial-scale=1"
309,Trirex Endurance 2024 - 2ª Etapa,2024-09-07,Esportivo,Brotas/SP,"width=device-width, initial-scale=1"
310,Semana Municipal do Evangélico,2024-09-08,Religioso,Lajes/RN,"width=device-width, initial-scale=1"
311,Exposibram 2024,2024-09-09,Científico ou Técnico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
312,Festival de Cultura e Gastronomia de Gramado,2024-09-11,Artístico/Cultural/Folclórico,Gramado/RS,"width=device-width, initial-scale=1"
313,PANTANETA - Carnaval fora de época,2024-09-13,Artístico/Cultural/Folclórico,Aquidauana/MS,"width=device-width, initial-scale=1"
314,FESTIVAL DE VERÃO DO CABURI,2024-09-13,Outro,Parintins/AM,"width=device-width, initial-scale=1"
315,FESTIVAL DA SARDINHA,2024-09-13,Gastronômico,Armação dos Búzios/RJ,"width=device-width, initial-scale=1"
316,Copa Vela,2024-09-13,Esportivo,Paulo Afonso/BA,"width=device-width, initial-scale=1"
317,Festival Romeu e Julieta,2024-09-13,Gastronômico,Brasópolis/MG,"width=device-width, initial-scale=1"
318,Maratona UPHILL SERRA DO RIO DO RASTRO 2024,2024-09-14,Esportivo,Lauro Müller/SC,"width=device-width, initial-scale=1"
319,MISSA SOLENIDADE EXALTAÇÃO DA SANTA CRUZ,2024-09-14,Religioso,Paraíso do Tocantins/TO,"width=device-width, initial-scale=1"
320,OLD CAR SANTA CRUZ - ENCONTRO DE CARROS ANTIGOS,2024-09-14,Artístico/Cultural/Folclórico,Santa Cruz do Rio Pardo/SP,"width=device-width, initial-scale=1"
321,Brotas Rock 2024,2024-09-14,Artístico/Cultural/Folclórico,Brotas/SP,"width=device-width, initial-scale=1"
322,Festival Ananin de Gastronomia,2024-09-14,Gastronômico,Ananindeua/PA,"width=device-width, initial-scale=1"
323,TORNEIO DE PESCA DAS ÁGUAS THERMAIS,2024-09-14,Esportivo,Jataí/GO,"width=device-width, initial-scale=1"
324,3° Encontro de Carros Antigos de Bicas,2024-09-15,Outro,Bicas/MG,"width=device-width, initial-scale=1"
325,5ª etapa do 8º Circuito Regional de Cicloturismo - Foz do Iguaçu,2024-09-15,Esportivo,Foz do Iguaçu/PR,"width=device-width, initial-scale=1"
326,"Festival Internacional de Cultura, Artes e Teatro (Ficate)",2024-09-16,Artístico/Cultural/Folclórico,Rio Branco/AC,"width=device-width, initial-scale=1"
327,CAMINHADA NA NATUREZA – CIRCUITO TERRA NOVA,2024-09-17,Ecoturismo,Castro/PR,"width=device-width, initial-scale=1"
328,"O Quilo é nosso - As Joias de Goiás – Mandioca, Milho, Açafrão d...",2024-09-17,Gastronômico,Goiânia/GO,"width=device-width, initial-scale=1"
329,Pet Stop,2024-09-18,Outro,Praia Grande/SP,"width=device-width, initial-scale=1"
330,IRRIGASHOW,2024-09-18,Rural,Paranapanema/SP,"width=device-width, initial-scale=1"
331,ID 360 - Marketing por dados,2024-09-19,Científico ou Técnico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
332,Festival do Chambari,2024-09-19,Gastronômico,Paraíso do Tocantins/TO,"width=device-width, initial-scale=1"
333,Festejo do Nosso Senhor do Bonfim,2024-09-20,Religioso,Aurora do Tocantins/TO,"width=device-width, initial-scale=1"
334,FEIRA TURÍSTICA E CULTURAL DA MASSAMBABA,2024-09-21,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
335,Tepequém Up - Corrida na Amazônia,2024-09-21,Esportivo,Amajari/RR,"width=device-width, initial-scale=1"
336,Festa D'Itália,2024-09-21,Artístico/Cultural/Folclórico,Serra Negra/SP,"width=device-width, initial-scale=1"
337,EXPOHUMA - Exposição Agropecuária de Humaitá/AM,2024-09-21,Comercial ou Promocional,Humaitá/AM,"width=device-width, initial-scale=1"
338,195º Kerb de São Miguel,2024-09-21,Artístico/Cultural/Folclórico,Dois Irmãos/RS,"width=device-width, initial-scale=1"
339,EQUINÓCIO DE PRIMAVERA,2024-09-23,Científico ou Técnico,Macapá/AP,"width=device-width, initial-scale=1"
340,Expo-Hospital Brasil e Expo-Dental,2024-09-24,Científico ou Técnico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
341,Festa de São Francisco das Chagas,2024-09-24,Religioso,Canindé/CE,"width=device-width, initial-scale=1"
342,Feira do Estudante,2024-09-27,Outro,Praia Grande/SP,"width=device-width, initial-scale=1"
343,BOP GAMES,2024-09-28,Esportivo,Belo Horizonte/MG,"width=device-width, initial-scale=1"
344,FESTIVIDADE DE SÃO FRANCISCO DE ASSIS,2024-09-28,Religioso,Monte Alegre/PA,"width=device-width, initial-scale=1"
345,4° Festival Cultural das Ilhas,2024-09-29,Artístico/Cultural/Folclórico,Ananindeua/PA,"width=device-width, initial-scale=1"
346,Nova Oktober fest,2024-10-03,Artístico/Cultural/Folclórico,Nova Petrópolis/RS,"width=device-width, initial-scale=1"
347,35ª MAREJADA,2024-10-03,Gastronômico,Itajaí/SC,"width=device-width, initial-scale=1"
348,Semana do idoso,2024-10-05,Artístico/Cultural/Folclórico,Holambra/SP,"width=device-width, initial-scale=1"
349,Festa de Nossa Senhora do Rosário,2024-10-07,Religioso,Vila Velha/ES,"width=device-width, initial-scale=1"
350,ANIVERSÁRIO DE FILADÉLFIA,2024-10-07,Social/Cívico/Histórico,Filadélfia/TO,"width=device-width, initial-scale=1"
351,EMPREENDE WEEK – Soluções para o Amanhã,2024-10-07,Científico ou Técnico,Campo Mourão/PR,"width=device-width, initial-scale=1"
352,Outubro Criança,2024-10-07,Outro,Praia Grande/SP,"width=device-width, initial-scale=1"
353,Cavalgada de Pedro Afonso,2024-10-09,Outro,Pedro Afonso/TO,"width=device-width, initial-scale=1"
354,Oktoberfest Blumenau 2024,2024-10-09,Artístico/Cultural/Folclórico,Blumenau/SC,"width=device-width, initial-scale=1"
355,26º Festival Capixaba de Frutos do Mar de Iriri,2024-10-10,Gastronômico,Anchieta/ES,"width=device-width, initial-scale=1"
356,7ª Edição do Portugal em Cena,2024-10-10,Artístico/Cultural/Folclórico,Barra de São Miguel/AL,"width=device-width, initial-scale=1"
357,Traslado para Ananindeua,2024-10-11,Religioso,Ananindeua/PA,"width=device-width, initial-scale=1"
358,Semana da criança (parque infantil),2024-10-11,Artístico/Cultural/Folclórico,São Domingos/SE,"width=device-width, initial-scale=1"
359,3° Festival do Açaí de Ananindeua,2024-10-11,Gastronômico,Ananindeua/PA,"width=device-width, initial-scale=1"
360,ANIVERSÁRIO DA CIDADE,2024-10-11,Artístico/Cultural/Folclórico,Ariquemes/RO,"width=device-width, initial-scale=1"
361,FESTIVAL DO ATUM,2024-10-11,Gastronômico,Itarema/CE,"width=device-width, initial-scale=1"
362,MPBúzios,2024-10-11,Artístico/Cultural/Folclórico,Armação dos Búzios/RJ,"width=device-width, initial-scale=1"
363,XXX Festa da Pesca ao Tucunaré,2024-10-11,Esportivo,Nhamundá/AM,"width=device-width, initial-scale=1"
364,Festa da Polenta,2024-10-11,Artístico/Cultural/Folclórico,Venda Nova do Imigrante/ES,"width=device-width, initial-scale=1"
365,Romaria Rodoviária,2024-10-12,Religioso,Ananindeua/PA,"width=device-width, initial-scale=1"
366,Criança Alegre,2024-10-12,Outro,São Roque/SP,"width=device-width, initial-scale=1"
367,Brotas Beer Fest 2024,2024-10-12,Gastronômico,Brotas/SP,"width=device-width, initial-scale=1"
368,Missa do Vaqueiro,2024-10-12,Religioso,Maribondo/AL,"width=device-width, initial-scale=1"
369,MOTO PROCISSÃO,2024-10-12,Religioso,Tramandaí/RS,"width=device-width, initial-scale=1"
370,II Festival do Guaraná da AVCMN,2024-10-12,Outro,Morada Nova/CE,"width=device-width, initial-scale=1"
371,FEIRA TURÍSTICA E CULTURAL DO XARÉU,2024-10-12,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
372,DIA DAS CRIANÇAS NO PARQUE,2024-10-12,Outro,Paraíso do Tocantins/TO,"width=device-width, initial-scale=1"
373,Final do Big Biker 2024 - Mountain Bike,2024-10-12,Esportivo,Santo Antônio do Pinhal/SP,"width=device-width, initial-scale=1"
374,FESTA DO PRODUTOR RURAL COM A TRADICIONAL MISSA SERTANEJA,2024-10-13,Rural,Paraíso do Tocantins/TO,"width=device-width, initial-scale=1"
375,Aniversário de Parintins,2024-10-15,Social/Cívico/Histórico,Parintins/AM,"width=device-width, initial-scale=1"
376,Festa de Nossa Senhora dos Remédios,2024-10-15,Religioso,Ladário/MS,"width=device-width, initial-scale=1"
377,ANIVERSÁRIO DA CIDADE DE AÇU 179 ANOS DE HISTÓRIA,2024-10-16,Social/Cívico/Histórico,Açu/RN,"width=device-width, initial-scale=1"
378,CONVENTION & VISITORS BUREAUX WORLD CONFERENCE,2024-10-16,Comercial ou Promocional,Mata de São João/BA,"width=device-width, initial-scale=1"
379,VIII Congresso Sul-Brasileiro de Medicina de Família e Comunidade,2024-10-17,Científico ou Técnico,Maringá/PR,"width=device-width, initial-scale=1"
380,Festa da Padroeira,2024-10-17,Religioso,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
381,3º Gravatá MotoFest,2024-10-18,Artístico/Cultural/Folclórico,Gravatá/PE,"width=device-width, initial-scale=1"
382,Festa de Nossa Senhora das Dores,2024-10-18,Artístico/Cultural/Folclórico,Salgadinho/PE,"width=device-width, initial-scale=1"
383,Oktober Bier Festival,2024-10-18,Gastronômico,Santo Antônio do Pinhal/SP,"width=device-width, initial-scale=1"
384,SHOW ANIVERSARIO DA CIDADE,2024-10-19,Social/Cívico/Histórico,Paraíso do Tocantins/TO,"width=device-width, initial-scale=1"
385,XC RUN etapa BÚZIOS - 15ª edição,2024-10-19,Esportivo,Armação dos Búzios/RJ,"width=device-width, initial-scale=1"
386,I LOVE PEQUI,2024-10-20,Gastronômico,Aparecida/GO,"width=device-width, initial-scale=1"
387,BTM - Brazil Travel Market,2024-10-24,Outro,Fortaleza/CE,"width=device-width, initial-scale=1"
388,OKTOBERFEST,2024-10-25,Artístico/Cultural/Folclórico,Marechal Cândido Rondon/PR,"width=device-width, initial-scale=1"
389,Eco-Festival do Peixe-boi,2024-10-25,Artístico/Cultural/Folclórico,Novo Airão/AM,"width=device-width, initial-scale=1"
390,FEIRA TURÍSTICA E CULTURAL DA MASSAMBABA,2024-10-26,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
391,Aniversário da cidade,2024-10-27,Outro,Holambra/SP,"width=device-width, initial-scale=1"
392,Aniversário da cidade,2024-10-29,Outro,Aurora do Tocantins/TO,"width=device-width, initial-scale=1"
393,Abeta Summit 2024 - 21º Congresso Brasileiro de Ecoturismo e Turismo ...,2024-10-30,Ecoturismo,Foz do Iguaçu/PR,"width=device-width, initial-scale=1"
394,FEIRA TURÍSTICA E CULTURAL DA MASSAMBABA,2024-11-01,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
395,Festival da Cevada e do Malte,2024-11-01,Gastronômico,Guarapuava/PR,"width=device-width, initial-scale=1"
396,Festival de Dança da Terceira Idade,2024-11-03,Artístico/Cultural/Folclórico,Piratuba/SC,"width=device-width, initial-scale=1"
397,FLILAJES (Festival Literário de Lajes),2024-11-04,Artístico/Cultural/Folclórico,Lajes/RN,"width=device-width, initial-scale=1"
398,Festa Estadual de Nossa Senhora do Rocio,2024-11-06,Religioso,Paranaguá/PR,"width=device-width, initial-scale=1"
399,Festival de Bar em Bar,2024-11-06,Gastronômico,Goiânia/GO,"width=device-width, initial-scale=1"
400,O FESCAPO - Festival da Canção de Porto dos Gaúchos,2024-11-07,Artístico/Cultural/Folclórico,Porto dos Gaúchos/MT,"width=device-width, initial-scale=1"
401,34ª Schützenfest - Festa dos Atiradores,2024-11-07,Artístico/Cultural/Folclórico,Jaraguá do Sul/SC,"width=device-width, initial-scale=1"
402,Salão de Artes Plásticas de Praia Grande,2024-11-07,Artístico/Cultural/Folclórico,Praia Grande/SP,"width=device-width, initial-scale=1"
403,TEJUBODE - FEIRA DE OVINOS E CAPRINOS DE TEJUÇUOCA,2024-11-08,Outro,Tejuçuoca/CE,"width=device-width, initial-scale=1"
404,Círio de Nossa Senhora de Nazaré,2024-11-08,Religioso,Bragança/PA,"width=device-width, initial-scale=1"
405,"Festa do ""Encontro dos Santos""",2024-11-09,Religioso,Santa Cruz dos Milagres/PI,"width=device-width, initial-scale=1"
406,VIVA MOTOCROSS ARAPIRACA,2024-11-09,Esportivo,Arapiraca/AL,"width=device-width, initial-scale=1"
407,Enduro do Caipira - Etapa Brotas,2024-11-09,Esportivo,Brotas/SP,"width=device-width, initial-scale=1"
408,FERA (Festival de Esportes Radicais),2024-11-09,Esportivo,Praia Grande/SP,"width=device-width, initial-scale=1"
409,Sul Beleza (Feira Profissional de Beleza),2024-11-09,Comercial ou Promocional,Novo Hamburgo/RS,"width=device-width, initial-scale=1"
410,39ª Festa das Rosas,2024-11-09,Artístico/Cultural/Folclórico,Sapiranga/RS,"width=device-width, initial-scale=1"
411,6ª etapa do 8º Circuito Regional de Cicloturismo - Guaíra,2024-11-10,Esportivo,Guaíra/PR,"width=device-width, initial-scale=1"
412,Cataratas Day,2024-11-11,Comercial ou Promocional,Foz do Iguaçu/PR,"width=device-width, initial-scale=1"
413,84ª Festa das Flores,2024-11-12,Artístico/Cultural/Folclórico,Joinville/SC,"width=device-width, initial-scale=1"
414,FESTA DA BANANA,2024-11-14,Artístico/Cultural/Folclórico,Caroebe/RR,"width=device-width, initial-scale=1"
415,Sicoob Mons Ultra Trail,2024-11-14,Esportivo,Nova Trento/SC,"width=device-width, initial-scale=1"
416,Natal Luzes da Serra,2024-11-14,Artístico/Cultural/Folclórico,Serra Negra/SP,"width=device-width, initial-scale=1"
417,Proclamação da República,2024-11-15,Social/Cívico/Histórico,Marechal Deodoro/AL,"width=device-width, initial-scale=1"
418,16º Festival Estadual de Bandas marciais e Musicais,2024-11-15,Artístico/Cultural/Folclórico,Cachoeira do Sul/RS,"width=device-width, initial-scale=1"
419,FEIRA TURÍSTICA E CULTURAL DO XARÉU,2024-11-15,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
420,Vieni Vivere la Vita Festival - 5ª Edição,2024-11-15,Artístico/Cultural/Folclórico,Monte Belo do Sul/RS,"width=device-width, initial-scale=1"
421,Ultra Trail Chapada Diamantina,2024-11-15,Esportivo,Mucugê/BA,"width=device-width, initial-scale=1"
422,FEIRA DE EXPOSIÇÃO AGROPECUÁRIA DE PARINTINS - EXPOPIN,2024-11-15,Outro,Parintins/AM,"width=device-width, initial-scale=1"
423,8º Brilho de Natal,2024-11-16,Artístico/Cultural/Folclórico,Piratuba/SC,"width=device-width, initial-scale=1"
424,Sonho de Natal,2024-11-16,Artístico/Cultural/Folclórico,Santa Fé do Sul/SP,"width=device-width, initial-scale=1"
425,REGATA DE CANOAS DE JERICOACOARA,2024-11-19,Esportivo,Jijoca de Jericoacoara/CE,"width=device-width, initial-scale=1"
426,Festival de Violões – Homenagem a Antônio Manzione,2024-11-19,Artístico/Cultural/Folclórico,Praia Grande/SP,"width=device-width, initial-scale=1"
427,REPARASUL,2024-11-20,Comercial ou Promocional,Novo Hamburgo/RS,"width=device-width, initial-scale=1"
428,Campeonato Morada-novense de Futsal,2024-11-22,Esportivo,Morada Nova/CE,"width=device-width, initial-scale=1"
429,Sankofa Quilombola,2024-11-23,Artístico/Cultural/Folclórico,Ananindeua/PA,"width=device-width, initial-scale=1"
430,Encontro de Carros Antigos em Brotas,2024-11-23,Artístico/Cultural/Folclórico,Brotas/SP,"width=device-width, initial-scale=1"
431,Natal Encantado,2024-11-23,Outro,Praia Grande/SP,"width=device-width, initial-scale=1"
432,Círio de Nossa Senhora das Graças,2024-11-24,Religioso,Ananindeua/PA,"width=device-width, initial-scale=1"
433,Festa de Emancipação de Monte Alegre de Sergipe,2024-11-25,Artístico/Cultural/Folclórico,Monte Alegre de Sergipe/SE,"width=device-width, initial-scale=1"
434,ESPETACULO ESCOLA DE ARTES,2024-11-26,Artístico/Cultural/Folclórico,Paraíso do Tocantins/TO,"width=device-width, initial-scale=1"
435,Natal 2024,2024-11-29,Artístico/Cultural/Folclórico,Brotas/SP,"width=device-width, initial-scale=1"
436,Abertura do Brilho de Natal,2024-11-30,Religioso,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
437,DIA MUNICIPAL DO EVANGÉLICO,2024-11-30,Religioso,Jijoca de Jericoacoara/CE,"width=device-width, initial-scale=1"
438,Natal Mágico de Holambra 2024,2024-11-30,Artístico/Cultural/Folclórico,Holambra/SP,"width=device-width, initial-scale=1"
439,Abertura do Natal com a Chegada do Papai Noel,2024-12-01,Artístico/Cultural/Folclórico,São Pedro da Aldeia/RJ,"width=device-width, initial-scale=1"
